side,q_a_command_rad,q_b_command_rad,wheel_hx_m,wheel_hz_m,other_wheel_hx_m,other_wheel_hz_m,gas_slide_q_m,max_abs_qvel,max_abs_equality_residual_m,q_link_005_joint_rad,q_link_006_joint_rad,q_link_007_joint_rad,q_link_008_joint_rad,q_link_009_joint_rad,q_link_011_joint_rad,q_link_013_joint_rad,q_link_004_joint_rad,q_link_017_joint_rad,q_link_019_joint_rad,q_link_021_joint_rad,q_link_020_joint_rad,q_link_022_joint_rad,q_link_024_joint_rad,q_link_016_joint_rad,q_link_018_joint_rad
left,-0.277,0.25555,-0.0349070770425709,-0.127981101028483,1.72028744174643e-09,-0.134300206915378,-0.0119466059202147,1.77747092365041e-06,1.19238058315929e-09,-0.227186273906977,-2.70534452163668e-14,0.227186287935242,-3.54446701038139e-13,-0.22718628880374,-0.0240463737363917,-3.39212743191718e-10,0.227186274023797,,,,,,,,
left,-0.277,0.284,-0.0373277232069938,-0.129567129426439,1.72028744174643e-09,-0.134300206915378,-0.0114292542919618,1.79657442026956e-06,1.1950349737555e-09,-0.205261880827488,-2.36372597333093e-14,0.205261895052387,-3.60370941708455e-13,-0.205261895720266,-0.0222026159645223,-3.11158873668984e-10,0.205261880949805,,,,,,,,
left,-0.24930000000000002,-0.285,0.00169472773522185,-0.0949321980158952,1.72028744174643e-09,-0.134300206915378,-0.0207482382430639,1.14017251196287e-06,1.19238058315929e-09,-0.588142674497708,-6.74281246909164e-14,0.588142685134432,-2.0631285872846e-13,-0.588142690531256,-0.0362282434111947,-5.18872391822513e-10,0.588142674534284,,,,,,,,
left,-0.24930000000000002,-0.25655,0.000351255165467118,-0.0968952711479811,1.72028744174643e-09,-0.134300206915378,-0.0203043052677473,1.16885113964695e-06,1.19238058315929e-09,-0.570121399691657,-6.59554284660913e-14,0.570121410512357,-2.12779125747176e-13,-0.570121415617578,-0.0365395480170869,-5.25394124874563e-10,0.570121399730987,,,,,,,,
left,-0.24930000000000002,-0.22809999999999997,-0.00104797026812054,-0.0988622228270566,1.72028744174643e-09,-0.134300206915378,-0.0198534546236411,1.1978656862468e-06,1.19238058315929e-09,-0.551834308365257,-6.43674682864161e-14,0.551834319370291,-2.19358322536863e-13,-0.551834324188279,-0.036746053947287,-5.30067797548005e-10,0.551834308407469,,,,,,,,
left,-0.24930000000000002,-0.19965,-0.0025036281625306,-0.100830721363106,1.72028744174643e-09,-0.134300206915378,-0.0193959600202602,1.22711128788215e-06,1.19238058315929e-09,-0.533286694863699,-6.26659476617938e-14,0.533286706053434,-2.26053886706166e-13,-0.533286710588678,-0.0368448280852929,-5.32862510250267e-10,0.533286694908925,,,,,,,,
left,-0.24930000000000002,-0.1712,-0.00401630939998911,-0.102798382122921,1.72028744174643e-09,-0.134300206915378,-0.01893211063278,1.25647420269564e-06,1.19238058315929e-09,-0.514484042944998,-6.08502555507084e-14,0.514484054319812,-2.32830950620226e-13,-0.514484058576907,-0.036833153618248,-5.33752013191643e-10,0.51448404299337,,,,,,,,
left,-0.24930000000000002,-0.14275,-0.00558651365043704,-0.104762774534384,1.72028744174643e-09,-0.134300206915378,-0.018462210031462,1.28583201238995e-06,1.19238058315929e-09,-0.495431996922375,-5.89212952638354e-14,0.495432008482668,-2.39626030639359e-13,-0.495432012466313,-0.0367085369162784,-5.3271470731072e-10,0.495431996974027,,,,,,,,
left,-0.24930000000000002,-0.11429999999999998,-0.00721464730309529,-0.106721429082617,1.72028744174643e-09,-0.134300206915378,-0.0179865750752585,1.3150539037423e-06,1.19238058315929e-09,-0.476136333540961,-5.68723309113364e-14,0.476136345287157,-2.46473440431122e-13,-0.476136349002146,-0.0364687125713666,-5.29733598844443e-10,0.476136333596025,,,,,,,,
left,-0.24930000000000002,-0.08584999999999998,-0.00890102181741756,-0.108671844245306,1.72028744174643e-09,-0.134300206915378,-0.0175055347820239,1.34400098433934e-06,1.19238058315929e-09,-0.456602934829579,-5.47070734262186e-14,0.456602946762134,-2.53323043921789e-13,-0.456602950213352,-0.0361116466487054,-5.24796226725143e-10,0.456602934888187,,,,,,,,
