side,target_rotation_rad,target_shape_rad,q_a_command_rad,q_b_command_rad,actual_rotation_rad,actual_shape_rad,rotation_tracking_error_rad,shape_tracking_error_rad,wheel_hx_m,wheel_hz_m,wheel_radius_m,wheel_angle_rad,other_wheel_hx_m,other_wheel_hz_m,gas_slide_q_m,max_abs_nonwheel_qvel,max_abs_equality_residual_m,q_link_005_joint_rad,q_link_006_joint_rad,q_link_007_joint_rad,q_link_008_joint_rad,q_link_009_joint_rad,q_link_011_joint_rad,q_link_013_joint_rad,q_link_004_joint_rad,q_link_017_joint_rad,q_link_019_joint_rad,q_link_021_joint_rad,q_link_020_joint_rad,q_link_022_joint_rad,q_link_024_joint_rad,q_link_016_joint_rad,q_link_018_joint_rad
left,-0.5235987755982987,-0.281,-0.8045987755982987,0.24259877559829868,-0.523598775574658,-0.280999999457457,2.0942790501798925e-08,5.425430105177043e-10,-0.0465367560472381,-0.0806040297916929,0.09307351547062284,-0.5235987546555082,1.72028746950201e-09,-0.134300206915378,-0.0211735791205728,3.47189100059077e-09,1.19238058315929e-09,-0.605428739625925,7.88941289354493e-17,0.605428750117281,1.56757184618602e-13,-0.605428755850669,-0.0358274415560971,-4.65587185199045e-10,0.60542873962614,,,,,,,,
left,-0.2617993877991496,-0.281,-0.5427993877991496,-0.019200612200850453,-0.26179938779113787,-0.2809999994589121,1.9808484685857056e-08,5.410879522216305e-10,-0.024089196628727,-0.0899021128552245,0.0930735155135498,-0.2617993679906649,1.72028746950201e-09,-0.134300206915378,-0.0211735791206158,3.46257314062081e-09,1.19238058315929e-09,-0.605428739627661,9.22942289563785e-17,0.605428750119018,7.68564442280544e-14,-0.605428755852415,-0.0358274415560502,-4.94038927336619e-10,0.605428739627878,,,,,,,,
left,0.0,-0.281,-0.281,-0.281,-7.712497307466037e-12,-0.2809999994542355,1.8592264074221653e-08,5.457645446682591e-10,1.73044737902951e-09,-0.0930735155289017,0.09307351552890171,1.859226407422165e-08,1.72028746950201e-09,-0.134300206915378,-0.0211735791204712,3.49227462257581e-09,1.19238058315929e-09,-0.605428739621771,1.08318412964215e-16,0.605428750113126,2.24874375602057e-14,-0.605428755846532,-0.035827441556203,-5.10587619008305e-10,0.605428739621991,,,,,,,,
left,0.2617993877991496,-0.281,-0.019200612200850453,-0.5427993877991496,0.2617993877756263,-0.2809999994434107,1.7375928251794903e-08,5.565893301806568e-10,0.0240891999722352,-0.0899021119615379,0.09307351551567843,0.2617994051750778,1.72028746950201e-09,-0.134300206915378,-0.0211735791201384,3.56052318678989e-09,1.19238058315929e-09,-0.605428739608232,1.27475484953632e-16,0.605428750099584,-5.85247602482754e-15,-0.605428755832997,-0.0358274415565559,-5.15124216068826e-10,0.605428739608458,,,,,,,,
left,0.5235987755982987,-0.281,0.24259877559829868,-0.8045987755982987,0.5235987755588815,-0.2809999994264395,1.624127032862077e-08,5.735605324019843e-10,0.0465367590465532,-0.0806040280649565,0.0930735154748828,0.523598791839569,1.72028746950201e-09,-0.134300206915378,-0.0211735791196174,3.66711845710401e-09,1.19238058315929e-09,-0.605428739587039,1.52514106430853e-16,0.605428750078386,-7.71422251300692e-15,-0.605428755811808,-0.0358274415571087,-5.07519451827979e-10,0.605428739587274,,,,,,,,
left,0.7853981633974478,-0.281,0.5043981633974478,-1.066398163397448,0.7853981633420555,-0.28099999940333453,1.526450466027285e-08,5.966654947897609e-10,0.0658129148994959,-0.0658129128902929,0.09307351540945238,0.7853981786619525,1.72028746950201e-09,-0.134300206915378,-0.0211735791189082,3.81216642102377e-09,1.19238058315929e-09,-0.605428739558199,1.68719181245553e-16,0.605428750049539,1.72335447702709e-14,-0.605428755782968,-0.0358274415578619,-4.87619438184573e-10,0.605428739558445,,,,,,,,
left,1.0471975511965974,-0.281,0.7661975511965974,-1.3281975511965975,1.0471975511251426,-0.2809999993741075,1.4511059465149856e-08,6.258925044910768e-10,0.0806040293654558,-0.0465367564923813,0.09307351532406227,1.0471975657076569,1.72028746950201e-09,-0.134300206915378,-0.0211735791180107,3.99523155393324e-09,1.19238058315929e-09,-0.605428739521706,1.96718333328607e-16,0.605428750013038,6.92742007904132e-14,-0.605428755746471,-0.0358274415588156,-4.55243213359082e-10,0.605428739521968,,,,,,,,
left,1.3089969389957474,-0.281,1.0279969389957473,-1.5899969389957476,1.30899693890813,-0.28099999933885,1.4031109163425981e-08,6.611500236175516e-10,0.0899021124371376,-0.0240891970733903,0.09307351522479618,1.3089969530268566,1.72028746950201e-09,-0.134300206915378,-0.0211735791169266,4.21544112721415e-09,1.19238058315929e-09,-0.605428739477636,2.19887572583206e-16,0.605428749968959,1.48405613870655e-13,-0.605428755702389,-0.035827441559968,-4.10178516390951e-10,0.605428739477919,,,,,,,,
left,1.5707963267948966,-0.281,1.2897963267948964,-1.8517963267948967,1.570796326690965,-0.28099999929765507,1.3856130909317699e-08,7.023449599685705e-10,0.0930735151187412,1.28963879385195e-09,0.09307351511874122,1.5707963406510275,1.72028746950201e-09,-0.134300206915378,-0.0211735791156576,4.47459346563246e-09,1.19238058315929e-09,-0.60542873942607,2.48530789361923e-16,0.605428749917385,2.54845518088237e-13,-0.605428755650788,-0.035827441561318,-3.52195236761509e-10,0.605428739426386,,,,,,,,
left,1.8325957145940457,-0.281,1.5515957145940455,-2.113595714594046,1.8325957144735798,-0.28099999925059993,1.3996770853452745e-08,7.494000975327708e-10,0.0899021115578786,0.0240891995384702,0.09307351501350683,1.8325957285908165,1.72028746950201e-09,-0.134300206915378,-0.0211735791142046,4.77825004755417e-09,1.19238058315929e-09,-0.605428739367069,2.5881274140525e-16,0.605428749858381,3.88598586579755e-13,-0.60542875559171,-0.0358274415628653,-2.81050159745041e-10,0.605428739367434,,,,,,,,
